(class_part, value_part, line_number)
(class: data_type, value: num, line: 1)
(class: [, value: _, line: 1)
(class: ], value: _, line: 1)
(class: [, value: _, line: 1)
(class: ], value: _, line: 1)
(class: identifier, value: ids, line: 1)
(class: assignment, value: =, line: 1)
(class: [, value: _, line: 1)
(class: number, value: 1, line: 1)
(class: ,, value: _, line: 1)
(class: number, value: 2, line: 1)
(class: ,, value: _, line: 1)
(class: number, value: 3, line: 1)
(class: ], value: _, line: 1)
